"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"829","@QuanFlix_ bro, i don<e2><80><99>t even play anymore and thats impressive af",FALSE,0,"QuanFlix_",2017-05-04 15:50:17,FALSE,"860154123819397122","860159654197829636","1650881054","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","mikeintosh",0,FALSE,FALSE,NA,NA
"830","#soloparking @ Mission District, San Francisco https://t.co/Hh8mU7JiI6",FALSE,0,NA,2017-05-04 15:49:13,FALSE,NA,"860159385045262336",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","juliegeb",0,FALSE,FALSE,"-122.42","37.76"
"831","Should I hate myself for liking this Playboi Carti album? #fyre",FALSE,0,NA,2017-05-04 15:38:05,FALSE,NA,"860156585091321856",NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","mikeintosh",0,FALSE,FALSE,NA,NA
"832","@RollOverEasy Thermal #mugshot of my morning tea. https://t.co/JmOkClK9U3",FALSE,4,"RollOverEasy",2017-05-04 15:28:54,FALSE,NA,"860154274600308736","2252923364","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","joeyhagedorn",1,FALSE,FALSE,NA,NA
"833","Little early for the Rev - so a cappuccino at Haus Coffee on the patio https://t.co/pIXNkQk5EN",FALSE,1,NA,2017-05-04 15:23:18,FALSE,NA,"860152865574100992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","guruvan",0,FALSE,FALSE,NA,NA
"834","@filtercake Interesting! Thanks!",FALSE,1,"filtercake",2017-05-04 15:10:32,FALSE,"860020242797535233","860149652166811648","78214742","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","kaelig",0,FALSE,FALSE,NA,NA
"835","Pretty Little Lamb #lazybear #LiandKay @ Lazy Bear https://t.co/DZr2PSP7An",FALSE,0,NA,2017-05-04 14:57:20,FALSE,NA,"860146331733635072",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LisetteCervano",0,FALSE,FALSE,"-122.41967","37.7603"
"836","The way we dress doesn't mean yes!  RAISEDFIST  COLFIVE  RAISEDFIST  COLFOUR  RAISEDFIST  COLTHREE  TWOHEARTS  HEAVYBLACKHEART  #sfwar #projectconsent #saam @ The Women's Building https://t.co/5sgTOlJPwb",FALSE,0,NA,2017-05-04 14:57:06,FALSE,NA,"860146271310544896",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","missy_swann",0,FALSE,FALSE,"-122.423","37.7614"
"837","Im looking at you little lady. @ Mission District, San Francisco https://t.co/VrW0pYgQyr",FALSE,1,NA,2017-05-04 14:56:03,FALSE,NA,"860146008575143936",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bfrancesi",0,FALSE,FALSE,"-122.42","37.76"
"838","#recheck #pugface #hiro checkedoutwell #mysocalledpuglife @RyLouie1003  no Hiro you can't go<e2><80><a6> https://t.co/GquqX7SBUK",FALSE,0,NA,2017-05-04 14:43:10,FALSE,NA,"860142765681893376",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RyLouie1003",0,FALSE,FALSE,"-122.41219","37.76147"
"839","Good to be back in the hood! Amazing how much &amp; how little changes https://t.co/vELp9aRKSV",FALSE,3,NA,2017-05-04 14:41:58,FALSE,NA,"860142462743879680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","guruvan",0,FALSE,FALSE,NA,NA
"840","@DanielleSucher Extremely weird-flavored soap!",FALSE,0,"DanielleSucher",2017-05-04 14:38:47,FALSE,"860094607081709569","860141660289736705","19393655","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","antifuchs",0,FALSE,FALSE,NA,NA
"841","Okkervil last night at The Chapel #okkervilriver #thechapelsf #waypastmybedtime @ The Chapel https://t.co/IM9gISn3cu",FALSE,0,NA,2017-05-04 14:27:29,FALSE,NA,"860138816044015617",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","marisapage",0,FALSE,FALSE,"-122.42139473","37.76053837"
"842","Kailan kaya muling makakatawang
Hindi ko pinipilit, walang lungkot na sumisilip? Kailan?",FALSE,0,NA,2017-05-04 14:19:51,FALSE,NA,"860136896076197890",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jtolen",0,FALSE,FALSE,NA,NA
"843","Daphne @daphnecylee stops by after a trip to Taiwan to pick up her deerskin pouch. Love the<e2><80><a6> https://t.co/trQJasLvPS",FALSE,0,NA,2017-05-04 13:34:19,FALSE,NA,"860125437082697728",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","basilracuk",0,FALSE,FALSE,"-122.42062","37.76196"
"844","Late dinner with my boo thang @ameiss_sb @ Pizzeria Delfina https://t.co/39fCpk7YsS",FALSE,0,NA,2017-05-04 12:57:29,FALSE,NA,"860116167670812672",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","edenmonet",0,FALSE,FALSE,"-122.42425856","37.76158244"
"845","Up to 41% Off General &amp; VIP Admission to Charity Gala at The Princess Project Gala https://t.co/xgKxO3YiJZ",FALSE,0,NA,2017-05-04 10:19:38,FALSE,NA,"860076444273324032",NA,"<a href=""http://www.simplybestcoupons.com"" rel=""nofollow"">Simply Best Coupons</a>","SBCSanFrancisco",0,FALSE,FALSE,"-122.421","37.7606"
